subset,group,question_id,turns,reason,uids,prompt_tokens_max,verify_steps,accept_len,hit,p1_hit,p2_hit,p1_al,p2_al,accept_len_delta,p2_hit_delta
postfull_forensic,qa,386,1,p2_heavy,386_t0,12.0,98.0,3.2551020408163267,0.6938775510204082,0.4387755102040816,0.25510204081632654,3.6744186046511627,3.08,-0.320655534941249,0.13388991960420532
postfull_forensic,qa,393,1,low_p2_al,393_t0,17.0,41.0,3.6341463414634148,0.5853658536585366,0.4146341463414634,0.17073170731707318,4.1764705882352935,2.2857142857142856,-0.45795892169447994,-0.0748823277706461
postfull_forensic,math_reasoning,408,1,largest_al_gain,408_t0,52.0,112.0,5.696428571428571,0.8660714285714286,0.7142857142857143,0.15178571428571427,6.475,3.823529411764706,4.696428571428571,0.15178571428571427
postfull_forensic,math_reasoning,412,1,p2_heavy,412_t0,54.0,96.0,3.65625,0.7916666666666666,0.4583333333333333,0.3333333333333333,4.863636363636363,2.9375,0.2642500000000001,0.08533333333333332
postfull_forensic,math_reasoning,431,1,smallest_al_gain,431_t0,45.0,284.0,3.630281690140845,0.7007042253521126,0.5422535211267606,0.15845070422535212,4.428571428571429,3.1777777777777776,-3.0840040241448694,0.015593561368209274
postfull_forensic,math_reasoning,436,1,high_p2_al,436_t0,39.0,15.0,3.7333333333333334,0.8666666666666667,0.7333333333333333,0.13333333333333333,3.8181818181818183,6.0,-0.7449275362318843,-0.08840579710144927
postfull_forensic,math_reasoning,454,1,low_p2_al,454_t0,81.0,19.0,4.0,0.8421052631578947,0.6842105263157895,0.15789473684210525,4.3076923076923075,2.0,-0.1578947368421053,-0.05263157894736842
postfull_forensic,math_reasoning,456,1,many_verify_steps,456_t0,94.0,276.0,3.710144927536232,0.8333333333333334,0.5652173913043478,0.26811594202898553,4.282051282051282,3.0,2.710144927536232,0.26811594202898553
postfull_forensic,math_reasoning,464,1,largest_p2_hit_drop,464_t0,46.0,209.0,4.913875598086125,0.7559808612440191,0.5980861244019139,0.15789473684210525,6.488,2.484848484848485,2.1638755980861246,-0.3837719298245614
postfull_forensic,math_reasoning,466,1,long_prompt,466_t0,134.0,79.0,4.025316455696203,0.8607594936708861,0.5949367088607594,0.26582278481012656,4.553191489361702,3.571428571428571,-1.2008740204942736,0.06344183242917417
postfull_forensic,rag,483,1,long_prompt,483_t0,913.0,218.0,3.720183486238532,0.6834862385321101,0.591743119266055,0.09174311926605505,4.496124031007752,2.65,-0.9579774333016977,-0.0634292945270484
postfull_forensic,rag,486,1,low_p2_al,486_t0,846.0,19.0,2.789473684210526,0.6842105263157895,0.5263157894736842,0.15789473684210525,3.1,1.3333333333333333,-3.1423444976076556,0.1124401913875598
postfull_forensic,rag,498,1,p2_heavy,498_t0,876.0,164.0,5.182926829268292,0.8780487804878049,0.6646341463414634,0.21341463414634146,6.055045871559633,3.914285714285714,3.7543554006968636,0.07055749128919861
postfull_forensic,rag,506,1,many_verify_steps,506_t0,773.0,390.0,2.4384615384615387,0.5282051282051282,0.4153846153846154,0.11282051282051282,2.685185185185185,2.5,-2.189557785209959,-0.0417688591601635
postfull_forensic,rag,511,1,largest_al_gain,511_t0,815.0,20.0,8.05,0.95,0.9,0.05,8.38888888888889,4.0,5.494444444444445,-0.2833333333333333
postfull_forensic,rag,512,1,high_p2_al,512_t0,817.0,108.0,8.453703703703704,0.9814814814814815,0.9722222222222222,0.009259259259259259,8.571428571428571,6.0,4.953703703703704,-0.24074074074074076
postfull_forensic,rag,521,1,smallest_al_gain,521_t0,777.0,1.0,1.0,0.0,0.0,0.0,nan,nan,-7.008403361344538,-0.04201680672268908
postfull_forensic,rag,557,1,largest_p2_hit_drop,557_t0,865.0,26.0,5.730769230769231,0.7692307692307693,0.7307692307692307,0.038461538461538464,6.947368421052632,2.0,2.730769230769231,-0.39010989010989006
postfull_screening,mt_bench,102,2,fixed_random_seed20260815,"102_t0,102_t1",42.0,351.0,5.8575498575498575,0.8945868945868946,0.7692307692307693,0.12535612535612536,6.696296296296296,2.7045454545454546,0.22073393715184775,0.0009780159033890429
postfull_screening,mt_bench,109,2,fixed_random_seed20260815,"109_t0,109_t1",56.0,166.0,3.3674698795180724,0.7771084337349398,0.5180722891566265,0.25903614457831325,3.8255813953488373,2.813953488372093,-0.788327221931203,0.1032390431290379
postfull_screening,mt_bench,110,2,fixed_random_seed20260815,"110_t0,110_t1",159.0,234.0,5.0085470085470085,0.7991452991452992,0.6410256410256411,0.1581196581196581,5.986666666666666,3.189189189189189,0.7299400433728795,-0.06576093889526727
postfull_screening,mt_bench,126,2,fixed_random_seed20260815,"126_t0,126_t1",31.0,321.0,3.5669781931464173,0.8006230529595015,0.5233644859813084,0.2772585669781931,4.2023809523809526,2.9550561797752812,-0.14433133066310644,0.06594904316866931
postfull_screening,mt_bench,146,2,fixed_random_seed20260815,"146_t0,146_t1",43.0,230.0,4.995652173913044,0.782608695652174,0.6521739130434783,0.13043478260869565,5.8533333333333335,3.966666666666667,-0.2633406318423521,-0.08898967782295902
postfull_screening,mt_bench,149,2,fixed_random_seed20260815,"149_t0,149_t1",38.0,486.0,4.2181069958847734,0.8168724279835391,0.6111111111111112,0.205761316872428,4.993265993265993,3.17,-0.05216327438549673,-0.014612903501792396
postfull_screening,mt_bench,151,2,fixed_random_seed20260815,"151_t0,151_t1",42.0,392.0,3.354591836734694,0.7346938775510204,0.4948979591836735,0.23979591836734693,3.7422680412371134,3.1702127659574466,-1.4882653061224485,0.1183673469387755
postfull_screening,mt_bench,153,2,fixed_random_seed20260815,"153_t0,153_t1",31.0,209.0,3.1961722488038276,0.6698564593301436,0.45454545454545453,0.215311004784689,3.536842105263158,3.1333333333333333,-0.9530212995832694,0.07014971446210835
postfull_screening,mt_bench,82,2,fixed_random_seed20260815,"82_t0,82_t1",55.0,299.0,3.3812709030100336,0.7157190635451505,0.5518394648829431,0.16387959866220736,3.606060606060606,3.163265306122449,-0.7697358083993624,-0.08779825368678595
postfull_screening,mt_bench,93,2,fixed_random_seed20260815,"93_t0,93_t1",99.0,396.0,5.184343434343434,0.8257575757575758,0.702020202020202,0.12373737373737374,5.73021582733813,3.8979591836734695,1.1905546144676578,-0.056386849865110736
postfull_screening,translation,167,1,fixed_random_seed20260815,167_t0,42.0,56.0,3.857142857142857,0.8392857142857143,0.5357142857142857,0.30357142857142855,4.4,3.3529411764705883,0.3536463536463539,0.1532217782217782
postfull_screening,translation,168,1,fixed_random_seed20260815,168_t0,34.0,20.0,6.1,0.85,0.8,0.05,6.6875,6.0,-0.5666666666666673,-0.042592592592592585
postfull_screening,translation,171,1,fixed_random_seed20260815,171_t0,55.0,191.0,5.403141361256544,0.7643979057591623,0.7068062827225131,0.05759162303664921,6.2,4.545454545454545,-0.9072034663296629,-0.09758079075645423
postfull_screening,translation,176,1,fixed_random_seed20260815,176_t0,38.0,12.0,4.25,0.8333333333333334,0.75,0.08333333333333333,4.555555555555555,6.0,-3.405172413793103,0.01436781609195402
postfull_screening,translation,187,1,fixed_random_seed20260815,187_t0,64.0,148.0,6.918918918918919,0.9324324324324325,0.8918918918918919,0.04054054054054054,7.2272727272727275,4.166666666666666,0.7626689189189193,-0.05320945945945946
postfull_screening,translation,204,1,fixed_random_seed20260815,204_t0,35.0,259.0,3.972972972972973,0.5598455598455598,0.525096525096525,0.03474903474903475,4.904411764705882,3.6666666666666665,0.4729729729729728,-0.1319176319176319
postfull_screening,translation,218,1,fixed_random_seed20260815,218_t0,60.0,67.0,6.552238805970149,0.8805970149253731,0.8208955223880597,0.05970149253731343,7.1454545454545455,5.5,3.3334888059701493,-0.20071517412935325
postfull_screening,translation,219,1,fixed_random_seed20260815,219_t0,56.0,272.0,3.775735294117647,0.7022058823529411,0.5588235294117647,0.14338235294117646,4.684210526315789,2.9743589743589745,-2.1780219313158784,0.010434376062563755
postfull_screening,translation,228,1,fixed_random_seed20260815,228_t0,16.0,224.0,4.584821428571429,0.8303571428571429,0.7232142857142857,0.10714285714285714,4.969135802469136,3.375,2.2598214285714286,0.007142857142857131
postfull_screening,translation,231,1,fixed_random_seed20260815,231_t0,37.0,158.0,6.518987341772152,0.8417721518987342,0.7911392405063291,0.05063291139240506,7.48,2.5,1.5634317862165963,-0.06047819971870604
postfull_screening,summarization,242,1,fixed_random_seed20260815,242_t0,709.0,69.0,3.6231884057971016,0.7246376811594203,0.5507246376811594,0.17391304347826086,4.131578947368421,3.25,-1.0834782608695654,-0.05275362318840579
postfull_screening,summarization,243,1,fixed_random_seed20260815,243_t0,645.0,16.0,5.0625,0.75,0.5,0.25,7.375,2.5,-2.104166666666667,0.25
postfull_screening,summarization,254,1,fixed_random_seed20260815,254_t0,732.0,56.0,5.625,0.8571428571428571,0.6607142857142857,0.19642857142857142,6.918918918918919,3.1818181818181817,-3.070652173913043,0.18773291925465838
postfull_screening,summarization,256,1,fixed_random_seed20260815,256_t0,1029.0,61.0,4.163934426229508,0.8360655737704918,0.7213114754098361,0.11475409836065574,4.090909090909091,4.714285714285714,0.3810396893874026,-0.08261432269197584
postfull_screening,summarization,275,1,fixed_random_seed20260815,275_t0,250.0,185.0,5.556756756756757,0.8486486486486486,0.7189189189189189,0.12972972972972974,6.481203007518797,3.3333333333333335,1.0471413721413718,-0.014501039501039481
