arm,uid,question_key,group,event_index,source_id,source,cached_accepted_len,fresh_greedy_al,fresh_first_token_nll,fresh_first_token_rank,completion_offset
audit_tree,86_t0,mt_bench:86,mt_bench,18,2,P2,4,4,0.041268520057201385,1,53
audit_tree,86_t0,mt_bench:86,mt_bench,19,0,Miss (fresh JIT),8,2,0.5459789633750916,1,57
audit_tree,86_t0,mt_bench:86,mt_bench,20,1,P1,3,3,0.07080110162496567,1,65
audit_tree,86_t0,mt_bench:86,mt_bench,21,2,P2,1,1,3.8323652744293213,13,68
audit_tree,86_t0,mt_bench:86,mt_bench,22,2,P2,1,1,7.102250099182129,30,69
audit_tree,86_t0,mt_bench:86,mt_bench,23,2,P2,7,7,0.00022539935889653862,1,70
audit_tree,86_t0,mt_bench:86,mt_bench,24,2,P2,6,6,0.004526250530034304,1,77
audit_tree,86_t0,mt_bench:86,mt_bench,25,1,P1,2,2,0.5955973267555237,1,83
audit_tree,86_t0,mt_bench:86,mt_bench,26,1,P1,3,6,0.02850756049156189,1,85
audit_tree,86_t0,mt_bench:86,mt_bench,27,1,P1,3,3,0.5321249961853027,1,88
audit_tree,86_t0,mt_bench:86,mt_bench,28,2,P2,2,2,0.0668753981590271,1,91
audit_tree,86_t0,mt_bench:86,mt_bench,29,1,P1,5,4,0.00032050241134129465,1,93
audit_tree,86_t0,mt_bench:86,mt_bench,30,2,P2,1,1,3.46941876411438,4,98
audit_tree,86_t0,mt_bench:86,mt_bench,31,1,P1,3,1,1.1586859226226807,2,99
audit_tree,86_t0,mt_bench:86,mt_bench,32,2,P2,4,4,0.0031603651586920023,1,102
audit_tree,86_t0,mt_bench:86,mt_bench,33,1,P1,2,1,4.111350059509277,4,106
audit_tree,86_t0,mt_bench:86,mt_bench,34,2,P2,1,7,0.9917156100273132,1,108
audit_tree,86_t0,mt_bench:86,mt_bench,35,1,P1,7,6,1.1171804666519165,1,109
audit_tree,86_t0,mt_bench:86,mt_bench,36,1,P1,9,8,0.08034541457891464,1,116
audit_tree,86_t1,mt_bench:86,mt_bench,0,0,Miss (fresh JIT),6,1,2.006091594696045,2,1
audit_tree,86_t1,mt_bench:86,mt_bench,1,1,P1,1,1,5.711510181427002,50,7
audit_tree,86_t1,mt_bench:86,mt_bench,2,2,P2,2,1,2.8004159927368164,4,8
audit_tree,86_t1,mt_bench:86,mt_bench,3,1,P1,3,1,1.713714838027954,2,10
audit_tree,86_t1,mt_bench:86,mt_bench,4,0,Miss (fresh JIT),2,4,1.2791008949279785,1,13
audit_tree,86_t1,mt_bench:86,mt_bench,5,1,P1,5,2,1.5153346061706543,1,15
audit_tree,86_t1,mt_bench:86,mt_bench,6,2,P2,2,1,3.894716262817383,6,20
audit_tree,86_t1,mt_bench:86,mt_bench,7,2,P2,1,1,2.565788507461548,2,22
audit_tree,86_t1,mt_bench:86,mt_bench,8,1,P1,5,1,1.3787400722503662,2,23
audit_tree,86_t1,mt_bench:86,mt_bench,9,1,P1,3,2,1.3181177377700806,1,28
audit_tree,86_t1,mt_bench:86,mt_bench,10,2,P2,3,2,1.3261184692382812,1,31
audit_tree,86_t1,mt_bench:86,mt_bench,11,0,Miss (fresh JIT),2,2,0.6876417994499207,1,34
audit_tree,86_t1,mt_bench:86,mt_bench,12,1,P1,2,1,2.7022557258605957,2,36
audit_tree,86_t1,mt_bench:86,mt_bench,13,0,Miss (fresh JIT),4,4,0.00016556799528189003,1,38
audit_tree,86_t1,mt_bench:86,mt_bench,14,0,Miss (fresh JIT),3,1,2.851991653442383,5,42
audit_tree,86_t1,mt_bench:86,mt_bench,15,1,P1,1,1,4.367713928222656,13,45
audit_tree,86_t1,mt_bench:86,mt_bench,16,0,Miss (fresh JIT),2,1,4.77049446105957,16,46
audit_tree,86_t1,mt_bench:86,mt_bench,17,0,Miss (fresh JIT),9,1,2.0382323265075684,2,48
audit_tree,86_t1,mt_bench:86,mt_bench,18,1,P1,4,1,1.0729886293411255,2,57
audit_tree,86_t1,mt_bench:86,mt_bench,19,0,Miss (fresh JIT),2,2,0.5674139857292175,1,61
audit_tree,86_t1,mt_bench:86,mt_bench,20,0,Miss (fresh JIT),2,2,0.7927846312522888,1,63
audit_tree,86_t1,mt_bench:86,mt_bench,21,0,Miss (fresh JIT),3,3,0.38822367787361145,1,65
